"","e","entityYearsVector.i.","OneYear","ThreeYear","FiveYear"
"42","A00013885",2019,TRUE,TRUE,TRUE
"43","A00013887",2020,FALSE,FALSE,TRUE
"44","A00218543",2005,TRUE,TRUE,TRUE
"45","A00227186",2005,TRUE,TRUE,TRUE
"46","A00201838",2011,TRUE,TRUE,TRUE
"47","A00013889",2022,TRUE,TRUE,TRUE
"48","A00013891",2019,FALSE,FALSE,FALSE
"49","A00082857",2019,FALSE,FALSE,FALSE
"50","A00014267",2011,TRUE,TRUE,TRUE
"51","A00194484",2011,TRUE,TRUE,TRUE
"52","A00014268",2011,FALSE,FALSE,TRUE
"53","A00040593",2011,FALSE,FALSE,TRUE
"54","A00014270",2008,FALSE,FALSE,FALSE
"55","A00014272",2022,FALSE,FALSE,TRUE
"56","A00055741",2022,FALSE,FALSE,TRUE
"57","A00014277",2022,FALSE,TRUE,TRUE
"58","A00014280",2011,FALSE,FALSE,FALSE
"59","A00014286",2011,FALSE,FALSE,TRUE
"60","A00014290",2007,TRUE,TRUE,TRUE
"61","A00014292",2005,TRUE,TRUE,TRUE
"62","A00014293",2010,FALSE,TRUE,TRUE
"63","A00052027",2010,FALSE,TRUE,TRUE
"64","A00014294",2020,TRUE,TRUE,TRUE
"65","A00087378",2020,TRUE,TRUE,TRUE
"66","A00014296",2023,TRUE,TRUE,TRUE
"67","A00508128",2023,TRUE,TRUE,TRUE
"68","A00089003",2008,FALSE,FALSE,FALSE
"69","A00207222",2019,TRUE,TRUE,TRUE
"70","A00014298",2018,TRUE,TRUE,TRUE
"71","A00014300",2021,TRUE,TRUE,TRUE
"72","A00048369",2021,TRUE,TRUE,TRUE
"73","A00014301",2013,FALSE,FALSE,FALSE
"74","A00014302",2017,FALSE,FALSE,FALSE
"75","A00014309",2023,TRUE,TRUE,TRUE
"76","A00083101",2023,TRUE,TRUE,TRUE
"77","A00014310",2019,TRUE,TRUE,TRUE
"78","A00206107",2021,FALSE,TRUE,TRUE
"79","A00014312",2007,TRUE,TRUE,TRUE
"80","A00083908",2007,TRUE,TRUE,TRUE
"81","A00014062",2018,TRUE,TRUE,TRUE
"82","A00014063",2022,FALSE,TRUE,TRUE
"83","A00074416",2022,FALSE,TRUE,TRUE
"84","A00014065",2010,FALSE,TRUE,TRUE
"85","A00014067",2018,FALSE,TRUE,TRUE
"86","A00402235",2015,TRUE,TRUE,TRUE
"87","A00014071",2011,FALSE,FALSE,FALSE
"88","A00227746",2022,TRUE,TRUE,TRUE
"89","A00227895",2022,TRUE,TRUE,TRUE
"90","A00208636",2014,FALSE,FALSE,FALSE
"91","A00014083",2018,TRUE,TRUE,TRUE
"92","A00401953",2018,TRUE,TRUE,TRUE
"93","A00014084",2014,TRUE,TRUE,TRUE
"94","A00014086",2004,TRUE,TRUE,TRUE
"95","A00014087",2020,TRUE,TRUE,TRUE
"96","A00248982",2020,TRUE,TRUE,TRUE
"97","A00014091",2018,FALSE,TRUE,TRUE
"98","A00014093",2022,FALSE,TRUE,TRUE
"99","A00075142",2022,FALSE,TRUE,TRUE
"100","A00014096",2004,FALSE,FALSE,FALSE
"101","A00208639",2010,FALSE,TRUE,TRUE
"102","A00208640",2020,FALSE,FALSE,TRUE
"103","A00014104",2022,FALSE,TRUE,TRUE
"104","A00023698",2022,FALSE,TRUE,TRUE
"105","A00014107",2014,FALSE,FALSE,TRUE
"106","A00089004",2023,FALSE,FALSE,FALSE
"107","A00014473",2020,FALSE,FALSE,FALSE
"108","A00084943",2022,TRUE,TRUE,TRUE
"109","A00014478",2022,TRUE,TRUE,TRUE
"110","A00014479",2020,TRUE,TRUE,TRUE
"111","A00014480",2020,FALSE,FALSE,FALSE
"112","A00023986",2020,FALSE,FALSE,FALSE
"113","A00014484",2023,TRUE,TRUE,TRUE
"114","A00014487",2011,FALSE,TRUE,TRUE
"115","A00014488",2003,TRUE,TRUE,TRUE
"116","A00014489",2003,FALSE,FALSE,FALSE
"117","A00014493",2021,TRUE,TRUE,TRUE
"118","A00090796",2015,TRUE,TRUE,TRUE
"119","A00014495",2004,FALSE,FALSE,FALSE
"120","A00014497",2023,TRUE,TRUE,TRUE
"121","A00216840",2017,TRUE,TRUE,TRUE
"122","A00014501",2008,FALSE,FALSE,FALSE
"123","A00014503",2022,TRUE,TRUE,TRUE
"124","A00014508",2015,TRUE,TRUE,TRUE
"125","A00014517",2008,FALSE,FALSE,TRUE
"126","A00085624",2008,FALSE,FALSE,TRUE
"127","A00217515",2019,TRUE,TRUE,TRUE
"128","A00014676",2019,FALSE,FALSE,FALSE
"129","A00014677",2015,FALSE,TRUE,TRUE
"130","A00061386",2015,FALSE,TRUE,TRUE
"131","A00014678",2014,FALSE,FALSE,TRUE
"132","A00014681",2019,TRUE,TRUE,TRUE
"133","A00077931",2019,TRUE,TRUE,TRUE
"134","A00227748",2018,FALSE,FALSE,TRUE
"135","A00014682",2009,TRUE,TRUE,TRUE
"136","A00222830",2022,TRUE,TRUE,TRUE
"137","A00014683",2006,FALSE,FALSE,FALSE
"138","A00018900",2006,FALSE,FALSE,FALSE
"139","A00014685",2003,TRUE,TRUE,TRUE
"140","A00014688",2017,TRUE,TRUE,TRUE
"141","A00089008",2019,TRUE,TRUE,TRUE
"142","A00014698",2017,TRUE,TRUE,TRUE
"143","A00270175",2016,FALSE,FALSE,FALSE
"144","A00014701",2006,FALSE,TRUE,TRUE
"145","A00014702",2007,FALSE,FALSE,FALSE
"146","A00014707",2008,FALSE,FALSE,TRUE
"147","A00014711",2023,TRUE,TRUE,TRUE
"148","A00019239",2023,TRUE,TRUE,TRUE
"149","A00014712",2010,FALSE,FALSE,TRUE
"150","A00014720",2022,TRUE,TRUE,TRUE
"151","A00509391",2022,TRUE,TRUE,TRUE
"152","A00087185",2020,TRUE,TRUE,TRUE
"153","A00014721",2010,FALSE,FALSE,FALSE
"154","A00084979",2020,FALSE,TRUE,TRUE
"155","A00014724",2007,TRUE,TRUE,TRUE
"156","A00264880",2007,TRUE,TRUE,TRUE
"157","A00015094",2009,TRUE,TRUE,TRUE
"158","A00015096",2013,TRUE,TRUE,TRUE
"159","A00015098",2022,TRUE,TRUE,TRUE
"160","A00092471",2022,TRUE,TRUE,TRUE
"161","A00227750",2015,FALSE,FALSE,FALSE
"162","A00015100",2020,FALSE,FALSE,TRUE
"163","A00015101",2021,FALSE,FALSE,FALSE
"164","A00015102",2006,FALSE,TRUE,TRUE
"165","A00015104",2022,FALSE,TRUE,TRUE
"166","A00015105",2009,FALSE,TRUE,TRUE
"167","A00015107",2014,FALSE,FALSE,FALSE
"168","A00227751",2023,TRUE,TRUE,TRUE
"169","A00015108",2015,FALSE,FALSE,TRUE
"170","A00489943",2015,FALSE,FALSE,TRUE
"171","A00217492",2007,TRUE,TRUE,TRUE
"172","A00015112",2018,FALSE,FALSE,FALSE
"173","A00015113",2002,FALSE,FALSE,FALSE
"174","A00289915",2002,FALSE,FALSE,FALSE
"175","A00090805",2017,TRUE,TRUE,TRUE
"176","A00079534",2017,TRUE,TRUE,TRUE
"177","A00015116",2004,FALSE,FALSE,FALSE
"178","A00015117",2013,FALSE,FALSE,TRUE
"179","A00015118",2014,FALSE,FALSE,FALSE
"180","A00014485",2014,FALSE,FALSE,FALSE
"181","A00209473",2022,TRUE,TRUE,TRUE
"182","A00201842",2016,TRUE,TRUE,TRUE
"183","A00015123",2015,FALSE,FALSE,FALSE
"184","A00216842",2022,TRUE,TRUE,TRUE
"185","A00015129",2023,TRUE,TRUE,TRUE
"186","A00015130",2014,FALSE,FALSE,FALSE
"187","A00204179",2013,FALSE,FALSE,FALSE
"188","A00014891",2012,TRUE,TRUE,TRUE
"189","A00014892",2010,FALSE,TRUE,TRUE
"190","A00014899",2023,TRUE,TRUE,TRUE
"191","A00065910",2023,TRUE,TRUE,TRUE
"192","A00014900",2016,TRUE,TRUE,TRUE
"193","A00227754",2017,TRUE,TRUE,TRUE
"194","A00227755",2022,FALSE,FALSE,FALSE
"195","A00319540",2014,FALSE,FALSE,FALSE
"196","A00242287",2004,TRUE,TRUE,TRUE
"197","A00216841",2004,TRUE,TRUE,TRUE
"198","A00014908",2005,FALSE,FALSE,FALSE
"199","A00014909",2023,TRUE,TRUE,TRUE
"200","A00044357",2023,TRUE,TRUE,TRUE
"201","A00014910",2019,TRUE,TRUE,TRUE
"202","A00014913",2021,FALSE,FALSE,FALSE
"203","A00089013",2014,FALSE,FALSE,FALSE
"204","A00024976",2014,FALSE,FALSE,FALSE
"205","A00201845",2021,FALSE,FALSE,FALSE
"206","A00014920",2013,FALSE,FALSE,FALSE
"207","A00230914",2018,TRUE,TRUE,TRUE
"208","A00225727",2018,TRUE,TRUE,TRUE
"209","A00014923",2004,FALSE,FALSE,FALSE
"210","A00014929",2010,FALSE,FALSE,TRUE
"211","A00014930",2010,TRUE,TRUE,TRUE
"212","A00014931",2017,TRUE,TRUE,TRUE
"213","A00014935",2014,FALSE,TRUE,TRUE
"214","A00015300",2006,TRUE,TRUE,TRUE
"215","A00015303",2004,TRUE,TRUE,TRUE
"216","A00216845",2013,FALSE,FALSE,FALSE
"217","A00015311",2011,FALSE,FALSE,TRUE
"218","A00192653",2011,FALSE,FALSE,TRUE
"219","A00015312",2022,TRUE,TRUE,TRUE
"220","A00015313",2010,FALSE,TRUE,TRUE
"221","A00015314",2020,TRUE,TRUE,TRUE
"222","A00083011",2013,TRUE,TRUE,TRUE
"223","A00040578",2013,TRUE,TRUE,TRUE
"224","A00015318",2013,FALSE,FALSE,FALSE
"225","A00015319",2008,FALSE,FALSE,FALSE
"226","A00015321",2006,TRUE,TRUE,TRUE
"227","A00015325",2022,TRUE,TRUE,TRUE
"228","A00199365",2022,TRUE,TRUE,TRUE
"229","A00201847",2012,TRUE,TRUE,TRUE
"230","A00202150",2012,TRUE,TRUE,TRUE
"231","A00199891",2017,FALSE,FALSE,FALSE
"232","A00015327",2018,FALSE,FALSE,FALSE
"233","A00538756",2018,FALSE,FALSE,FALSE
"234","A00015328",2011,FALSE,TRUE,TRUE
"235","A00015329",2022,TRUE,TRUE,TRUE
"236","A00015331",2015,TRUE,TRUE,TRUE
"237","A00015332",2007,FALSE,TRUE,TRUE
"238","A00242304",2022,FALSE,FALSE,FALSE
"239","A00242303",2022,FALSE,FALSE,FALSE
"240","A00015337",2003,FALSE,FALSE,FALSE
"241","A00212010",2004,TRUE,TRUE,TRUE
"242","A00015343",2015,TRUE,TRUE,TRUE
"243","A00015348",2015,TRUE,TRUE,TRUE
"244","A00090388",2010,FALSE,FALSE,FALSE
"245","A00015350",2022,FALSE,TRUE,TRUE
"246","A00494601",2018,TRUE,TRUE,TRUE
"247","A00015511",2018,FALSE,TRUE,TRUE
"248","A00227762",2007,FALSE,FALSE,FALSE
"249","A00015515",2022,TRUE,TRUE,TRUE
"250","A00062764",2022,TRUE,TRUE,TRUE
"251","A00085288",2020,TRUE,TRUE,TRUE
"252","A00372282",2020,TRUE,TRUE,TRUE
"253","A00015521",2022,TRUE,TRUE,TRUE
"254","A00015523",2008,TRUE,TRUE,TRUE
"255","A00081931",2008,TRUE,TRUE,TRUE
"256","A00015526",2017,TRUE,TRUE,TRUE
"257","A00015527",2018,FALSE,FALSE,FALSE
"258","A00015528",2019,TRUE,TRUE,TRUE
"259","A00089014",2008,FALSE,FALSE,TRUE
"260","A00015532",2022,FALSE,TRUE,TRUE
"261","A00508039",2022,FALSE,TRUE,TRUE
"262","A00015535",2009,TRUE,TRUE,TRUE
"263","A00225937",2016,FALSE,FALSE,FALSE
"264","A00227764",2021,TRUE,TRUE,TRUE
"265","A00395402",2021,TRUE,TRUE,TRUE
"266","A00015539",2015,TRUE,TRUE,TRUE
"267","A00015540",2021,FALSE,TRUE,TRUE
"268","A00015549",2008,TRUE,TRUE,TRUE
"269","A00015551",2023,FALSE,FALSE,FALSE
"270","A00015555",2022,TRUE,TRUE,TRUE
"271","A00208648",2022,FALSE,TRUE,TRUE
"272","A00199347",2022,FALSE,TRUE,TRUE
"273","A00015931",2014,FALSE,FALSE,FALSE
"274","A00077482",2014,FALSE,FALSE,FALSE
"275","A00015935",2021,TRUE,TRUE,TRUE
"276","A00015937",2021,FALSE,FALSE,FALSE
"277","A00015941",2021,FALSE,FALSE,TRUE
"278","A00015942",2007,FALSE,FALSE,FALSE
"279","A00015943",2018,TRUE,TRUE,TRUE
"280","A00015944",2012,TRUE,TRUE,TRUE
"281","A00011524",2012,TRUE,TRUE,TRUE
"282","A00015952",2017,TRUE,TRUE,TRUE
"283","A00201849",2007,TRUE,TRUE,TRUE
"284","A00015954",2006,FALSE,FALSE,FALSE
"285","A00054564",2006,FALSE,FALSE,FALSE
"286","A00015955",2004,TRUE,TRUE,TRUE
"287","A00206110",2017,TRUE,TRUE,TRUE
"288","A00028207",2017,TRUE,TRUE,TRUE
"289","A00015959",2022,FALSE,FALSE,FALSE
"290","A00204848",2011,FALSE,FALSE,FALSE
"291","A00015960",2009,TRUE,TRUE,TRUE
"292","A00015961",2017,TRUE,TRUE,TRUE
"293","A00015962",2003,TRUE,TRUE,TRUE
"294","A00015964",2022,TRUE,TRUE,TRUE
"295","A00055057",2022,TRUE,TRUE,TRUE
"296","A00015974",2005,TRUE,TRUE,TRUE
"297","A00015975",2016,FALSE,TRUE,TRUE
"298","A00092664",2016,FALSE,TRUE,TRUE
"299","A00207946",2013,FALSE,FALSE,FALSE
"300","A00234012",2013,FALSE,FALSE,FALSE
"301","A00222801",2005,FALSE,FALSE,FALSE
"302","A00015720",2004,FALSE,FALSE,FALSE
"303","A00015721",2011,FALSE,TRUE,TRUE
"304","A00015729",2018,FALSE,TRUE,TRUE
"305","A00031582",2018,FALSE,TRUE,TRUE
"306","A00015730",2019,TRUE,TRUE,TRUE
"307","A00015732",2005,FALSE,FALSE,FALSE
"308","A00015734",2010,FALSE,FALSE,FALSE
"309","A00015738",2006,TRUE,TRUE,TRUE
"310","A00015740",2003,FALSE,FALSE,FALSE
"311","A00015744",2017,FALSE,FALSE,FALSE
"312","A00015745",2014,TRUE,TRUE,TRUE
"313","A00015746",2016,FALSE,FALSE,TRUE
"314","A00015747",2022,FALSE,TRUE,TRUE
"315","A00069862",2022,FALSE,TRUE,TRUE
"316","A00208651",2011,FALSE,FALSE,FALSE
"317","A00209474",2007,FALSE,FALSE,FALSE
"318","A00015763",2022,FALSE,TRUE,TRUE
"319","A00016134",2015,FALSE,FALSE,FALSE
"320","A00211015",2003,FALSE,FALSE,FALSE
"321","A00016139",2022,TRUE,TRUE,TRUE
"322","A00192833",2022,TRUE,TRUE,TRUE
"323","A00016140",2015,FALSE,FALSE,TRUE
"324","A00016141",2009,FALSE,TRUE,TRUE
"325","A00451860",2009,FALSE,TRUE,TRUE
"326","A00016143",2021,TRUE,TRUE,TRUE
"327","A00044342",2021,TRUE,TRUE,TRUE
"328","A00016144",2022,FALSE,TRUE,TRUE
"329","A00016145",2022,TRUE,TRUE,TRUE
"330","A00016147",2017,FALSE,TRUE,TRUE
"331","A00016149",2004,FALSE,FALSE,FALSE
"332","A00016152",2012,FALSE,TRUE,TRUE
"333","A00016157",2020,TRUE,TRUE,TRUE
"334","A00271158",2020,TRUE,TRUE,TRUE
"335","A00016164",2007,FALSE,FALSE,TRUE
"336","A00016166",2022,TRUE,TRUE,TRUE
"337","A00016170",2022,FALSE,TRUE,TRUE
"338","A00509717",2022,FALSE,TRUE,TRUE
"339","A00016172",2004,FALSE,FALSE,FALSE
"340","A00016174",2020,FALSE,FALSE,FALSE
"341","A00016175",2022,TRUE,TRUE,TRUE
"342","A00525981",2022,TRUE,TRUE,TRUE
"343","A00016182",2021,FALSE,FALSE,FALSE
"344","A00016183",2021,TRUE,TRUE,TRUE
"345","A00016341",2023,TRUE,TRUE,TRUE
"346","A00089976",2023,TRUE,TRUE,TRUE
"347","A00016342",2023,TRUE,TRUE,TRUE
"348","A00016346",2020,FALSE,TRUE,TRUE
"349","A00512396",2020,FALSE,TRUE,TRUE
"350","A00016348",2022,TRUE,TRUE,TRUE
"351","A00216853",2020,FALSE,FALSE,FALSE
"352","A00087625",2021,FALSE,FALSE,FALSE
"353","A00529119",2021,FALSE,FALSE,FALSE
"354","A00016359",2019,FALSE,TRUE,TRUE
"355","A00072261",2019,FALSE,TRUE,TRUE
"356","A00016362",2019,TRUE,TRUE,TRUE
"357","A00439182",2019,TRUE,TRUE,TRUE
"358","A00016363",2016,TRUE,TRUE,TRUE
"359","A00016364",2009,FALSE,FALSE,TRUE
"360","A00016365",2008,TRUE,TRUE,TRUE
"361","A00082838",2005,TRUE,TRUE,TRUE
"362","A00016371",2009,FALSE,TRUE,TRUE
"363","A00016373",2003,TRUE,TRUE,TRUE
"364","A00016374",2007,TRUE,TRUE,TRUE
"365","A00016377",2022,FALSE,FALSE,TRUE
"366","A00400565",2022,FALSE,FALSE,TRUE
"367","A00201853",2010,FALSE,FALSE,FALSE
"368","A00016378",2020,FALSE,TRUE,TRUE
"369","A00345937",2020,FALSE,TRUE,TRUE
"370","A00016381",2012,FALSE,TRUE,TRUE
"371","A00227768",2021,FALSE,TRUE,TRUE
"372","A00406794",2021,FALSE,TRUE,TRUE
"373","A00016383",2007,FALSE,FALSE,FALSE
"374","A00016385",2007,TRUE,TRUE,TRUE
"375","A00016386",2022,TRUE,TRUE,TRUE
"376","A00016387",2022,FALSE,FALSE,TRUE
"377","A00016389",2020,TRUE,TRUE,TRUE
"378","A00016390",2005,TRUE,TRUE,TRUE
"379","A00016391",2019,FALSE,FALSE,FALSE
"380","A00013069",2005,FALSE,TRUE,TRUE
"381","A00081709",2005,FALSE,TRUE,TRUE
"382","A00013070",2019,FALSE,TRUE,TRUE
"383","A00013073",2005,TRUE,TRUE,TRUE
"384","A00013075",2011,FALSE,FALSE,FALSE
"385","A00013076",2013,TRUE,TRUE,TRUE
"386","A00206112",2022,TRUE,TRUE,TRUE
"387","A00013080",2022,FALSE,TRUE,TRUE
"388","A00013087",2019,TRUE,TRUE,TRUE
"389","A00013089",2012,FALSE,FALSE,FALSE
"390","A00013090",2009,FALSE,FALSE,TRUE
"391","A00013091",2021,TRUE,TRUE,TRUE
"392","A00031543",2021,TRUE,TRUE,TRUE
"393","A00013093",2011,TRUE,TRUE,TRUE
"394","A00013096",2007,FALSE,FALSE,FALSE
"395","A00034755",2007,FALSE,FALSE,FALSE
"396","A00013099",2020,FALSE,TRUE,TRUE
"397","A00012239",2020,FALSE,TRUE,TRUE
"398","A00013105",2022,FALSE,TRUE,TRUE
"399","A00526121",2022,FALSE,TRUE,TRUE
"400","A00013109",2010,FALSE,TRUE,TRUE
"401","A00013777",2010,FALSE,TRUE,TRUE
"402","A00013112",2013,FALSE,FALSE,TRUE
"403","A00013113",2002,FALSE,FALSE,FALSE
"404","A00013114",2020,TRUE,TRUE,TRUE
"405","A00013115",2018,TRUE,TRUE,TRUE
"406","A00201854",2022,TRUE,TRUE,TRUE
"407","A00227771",2012,TRUE,TRUE,TRUE
"408","A00013118",2014,FALSE,TRUE,TRUE
"409","A00013281",2004,TRUE,TRUE,TRUE
"410","A00013283",2022,FALSE,TRUE,TRUE
"411","A00013286",2016,TRUE,TRUE,TRUE
"412","A00013288",2008,FALSE,FALSE,FALSE
"413","A00013291",2011,FALSE,FALSE,FALSE
"414","A00227773",2012,FALSE,FALSE,FALSE
"415","A00013296",2012,TRUE,TRUE,TRUE
"416","A00026347",2012,TRUE,TRUE,TRUE
"417","A00013299",2013,FALSE,FALSE,FALSE
"418","A00013301",2010,FALSE,FALSE,TRUE
"419","A00013302",2004,FALSE,FALSE,FALSE
"420","A00013306",2022,FALSE,TRUE,TRUE
"421","A00013307",2022,TRUE,TRUE,TRUE
"422","A00408393",2022,TRUE,TRUE,TRUE
"423","A00013309",2011,TRUE,TRUE,TRUE
"424","A00089740",2011,TRUE,TRUE,TRUE
"425","A00013311",2018,FALSE,FALSE,FALSE
"426","A00013313",2014,FALSE,FALSE,FALSE
"427","A00061503",2014,FALSE,FALSE,FALSE
"428","A00013314",2018,TRUE,TRUE,TRUE
"429","A00351470",2018,TRUE,TRUE,TRUE
"430","A00086922",2020,TRUE,TRUE,TRUE
"431","A00013316",2022,FALSE,TRUE,TRUE
"432","A00013318",2023,TRUE,TRUE,TRUE
"433","A00512273",2023,TRUE,TRUE,TRUE
"434","A00013324",2009,FALSE,FALSE,TRUE
"435","A00013326",2006,FALSE,TRUE,TRUE
"436","A00013328",2019,TRUE,TRUE,TRUE
"437","A00013329",2003,TRUE,TRUE,TRUE
"438","A00013330",2020,TRUE,TRUE,TRUE
"439","A00045280",2020,TRUE,TRUE,TRUE
"440","A00013332",2013,FALSE,FALSE,FALSE
"441","A00089180",2016,TRUE,TRUE,TRUE
"442","A00216855",2018,FALSE,TRUE,TRUE
"443","A00208656",2022,FALSE,TRUE,TRUE
"444","A00013748",2002,FALSE,FALSE,FALSE
"445","A00013749",2003,FALSE,FALSE,FALSE
"446","A00013751",2007,FALSE,FALSE,FALSE
"447","A00013752",2008,FALSE,FALSE,TRUE
"448","A00291488",2008,FALSE,FALSE,TRUE
"449","A00013765",2004,TRUE,TRUE,TRUE
"450","A00013767",2018,FALSE,FALSE,TRUE
"451","A00013773",2015,FALSE,FALSE,TRUE
"452","A00206113",2015,FALSE,TRUE,TRUE
"453","A00013779",2010,FALSE,FALSE,TRUE
"454","A00228954",2009,TRUE,TRUE,TRUE
"455","A00013781",2010,FALSE,FALSE,FALSE
"456","A00013782",2019,FALSE,TRUE,TRUE
"457","A00083012",2019,FALSE,TRUE,TRUE
"458","A00013784",2013,FALSE,FALSE,FALSE
"459","A00013786",2014,FALSE,FALSE,FALSE
"460","A00013787",2010,FALSE,TRUE,TRUE
"461","A00013788",2010,TRUE,TRUE,TRUE
"462","A00013790",2014,TRUE,TRUE,TRUE
"463","A00046804",2014,TRUE,TRUE,TRUE
"464","A00083013",2015,TRUE,TRUE,TRUE
"465","A00013792",2013,TRUE,TRUE,TRUE
"466","A00013794",2019,FALSE,FALSE,FALSE
"467","A00086232",2002,FALSE,FALSE,FALSE
"468","A00013795",2014,FALSE,FALSE,FALSE
"469","A00013797",2016,FALSE,FALSE,FALSE
"470","A00013798",2008,FALSE,TRUE,TRUE
"471","A00013955",2005,FALSE,FALSE,FALSE
"472","A00013957",2022,FALSE,TRUE,TRUE
"473","A00013958",2014,TRUE,TRUE,TRUE
"474","A00087271",2014,TRUE,TRUE,TRUE
"475","A00013959",2022,TRUE,TRUE,TRUE
"476","A00016770",2022,TRUE,TRUE,TRUE
"477","A00089181",2021,TRUE,TRUE,TRUE
"478","A00409296",2021,TRUE,TRUE,TRUE
"479","A00013967",2012,FALSE,TRUE,TRUE
"480","A00013975",2021,TRUE,TRUE,TRUE
"481","A00227777",2011,FALSE,FALSE,TRUE
"482","A00227778",2006,FALSE,TRUE,TRUE
"483","A00013986",2022,TRUE,TRUE,TRUE
"484","A00227779",2007,FALSE,FALSE,FALSE
"485","A00013992",2021,FALSE,FALSE,TRUE
"486","A00013993",2023,TRUE,TRUE,TRUE
"487","A00427169",2023,TRUE,TRUE,TRUE
"488","A00208659",2002,FALSE,FALSE,FALSE
"489","A00217192",2002,FALSE,FALSE,FALSE
"490","A00227781",2018,TRUE,TRUE,TRUE
"491","A00013999",2007,FALSE,FALSE,FALSE
"492","A00014004",2014,FALSE,FALSE,TRUE
"493","A00014005",2004,TRUE,TRUE,TRUE
"494","A00014007",2013,FALSE,TRUE,TRUE
"495","A00014008",2012,FALSE,FALSE,TRUE
"496","A00014162",2012,FALSE,FALSE,FALSE
"497","A00014164",2011,TRUE,TRUE,TRUE
"498","A00062696",2011,TRUE,TRUE,TRUE
"499","A00014165",2012,TRUE,TRUE,TRUE
"500","A00014168",2018,FALSE,TRUE,TRUE
"501","A00500965",2018,FALSE,TRUE,TRUE
"502","A00089183",2005,TRUE,TRUE,TRUE
"503","A00014174",2017,TRUE,TRUE,TRUE
"504","A00066227",2017,TRUE,TRUE,TRUE
"505","A00014178",2012,FALSE,TRUE,TRUE
"506","A00014179",2010,FALSE,FALSE,FALSE
"507","A00014181",2012,FALSE,FALSE,FALSE
"508","A00014188",2011,FALSE,TRUE,TRUE
"509","A00014192",2008,TRUE,TRUE,TRUE
"510","A00058950",2008,TRUE,TRUE,TRUE
"511","A00014194",2022,FALSE,FALSE,TRUE
"512","A00014196",2014,FALSE,FALSE,FALSE
"513","A00074390",2014,FALSE,FALSE,FALSE
"514","A00014201",2010,FALSE,FALSE,FALSE
"515","A00078671",2010,FALSE,FALSE,FALSE
"516","A00014202",2008,FALSE,FALSE,TRUE
"517","A00047409",2008,FALSE,FALSE,TRUE
"518","A00014206",2013,FALSE,TRUE,TRUE
"519","A00078665",2013,FALSE,TRUE,TRUE
"520","A00014363",2022,TRUE,TRUE,TRUE
"521","A00014366",2019,FALSE,TRUE,TRUE
"522","A00014370",2010,FALSE,FALSE,FALSE
"523","A00014372",2020,FALSE,FALSE,FALSE
"524","A00031072",2020,FALSE,FALSE,FALSE
"525","A00014375",2005,FALSE,FALSE,FALSE
"526","A00024783",2005,FALSE,FALSE,FALSE
"527","A00014376",2010,FALSE,FALSE,FALSE
"528","A00014379",2011,FALSE,FALSE,FALSE
"529","A00087245",2023,TRUE,TRUE,TRUE
"530","A00075480",2023,TRUE,TRUE,TRUE
"531","A00014382",2006,FALSE,TRUE,TRUE
"532","A00014585",2006,FALSE,TRUE,TRUE
"533","A00014383",2017,FALSE,FALSE,TRUE
"534","A00014384",2009,TRUE,TRUE,TRUE
"535","A00195718",2021,TRUE,TRUE,TRUE
